product_name,overall_rating,no_ratings,no_reviews,rating,brand
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,4,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,3,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,2,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,3,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,1,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,1,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,3,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,1,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,4,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,1,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,4,asus
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,4,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,4,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,3,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,3,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,4,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,4,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,3,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,4,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,4,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,3,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,1,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,4,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,1,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,4,dell
